rank,combo_id,n_estimators,max_depth,learning_rate,num_leaves,theoretical_max_leaves,Val_RMSE_KRW,Val_MAE_KRW,Val_R2,Train_R2,Overfit_Gap_R2,redundancy_status
81,26,50,8,0.1,31,31,299004.2,144683.0,0.3008,0.6992,0.3985,유효 설정
82,101,200,-1,0.03,31,31,299139.7,144781.2,0.3001,0.7516,0.4514,깊이 제한 없음 (leaves 제약 유효)
83,27,50,8,0.1,63,63,299647.3,144632.1,0.2978,0.7027,0.4049,유효 설정
84,94,200,8,0.05,15,15,299677.1,143212.7,0.2976,0.7409,0.4432,유효 설정
85,70,100,-1,0.1,15,15,299886.5,144544.4,0.2966,0.7461,0.4495,깊이 제한 없음 (leaves 제약 유효)
86,61,100,8,0.1,15,15,299951.0,144839.3,0.2963,0.7403,0.444,유효 설정
87,88,200,5,0.1,15,15,300041.5,146592.8,0.2959,0.7799,0.4839,유효 설정
88,93,200,8,0.03,63,63,300187.5,144637.1,0.2952,0.7153,0.4201,유효 설정
89,92,200,8,0.03,31,31,300255.5,145044.9,0.2949,0.7176,0.4227,유효 설정
90,69,100,-1,0.05,63,63,300371.6,144985.7,0.2944,0.7614,0.467,깊이 제한 없음 (leaves 제약 유효)
91,36,50,-1,0.1,63,63,301095.6,146515.6,0.291,0.7643,0.4734,깊이 제한 없음 (leaves 제약 유효)
92,89,200,5,0.1,31,31,302382.5,148638.3,0.2849,0.79,0.5051,유효 설정
93,90,200,5,0.1,63,32,302382.5,148638.3,0.2849,0.79,0.5051,깊이 5 제한으로 최대 리프 2^5=32개 자동 상한
94,102,200,-1,0.03,63,63,302478.4,146748.5,0.2844,0.7862,0.5018,깊이 제한 없음 (leaves 제약 유효)
95,71,100,-1,0.1,31,31,302706.2,148686.3,0.2833,0.816,0.5326,깊이 제한 없음 (leaves 제약 유효)
96,62,100,8,0.1,31,31,302915.9,147303.9,0.2824,0.7692,0.4869,유효 설정
97,96,200,8,0.05,63,63,303159.4,146940.7,0.2812,0.7754,0.4942,유효 설정
98,97,200,8,0.1,15,15,303191.4,147941.4,0.281,0.8069,0.5258,유효 설정
99,106,200,-1,0.1,15,15,303450.6,148962.6,0.2798,0.8087,0.5289,깊이 제한 없음 (leaves 제약 유효)
100,95,200,8,0.05,31,31,303818.7,146742.0,0.2781,0.7709,0.4928,유효 설정
101,63,100,8,0.1,63,63,304104.3,147362.3,0.2767,0.7705,0.4938,유효 설정
102,104,200,-1,0.05,31,31,304125.7,148778.9,0.2766,0.8125,0.5359,깊이 제한 없음 (leaves 제약 유효)
103,105,200,-1,0.05,63,63,306901.6,150491.0,0.2633,0.8574,0.5941,깊이 제한 없음 (leaves 제약 유효)
104,72,100,-1,0.1,63,63,307610.7,152568.7,0.2599,0.8621,0.6021,깊이 제한 없음 (leaves 제약 유효)
105,107,200,-1,0.1,31,31,307976.3,153964.4,0.2582,0.8955,0.6373,깊이 제한 없음 (leaves 제약 유효)
106,99,200,8,0.1,63,63,308467.3,152437.6,0.2558,0.8592,0.6034,유효 설정
107,98,200,8,0.1,31,31,309388.5,154491.4,0.2514,0.8472,0.5959,유효 설정
108,108,200,-1,0.1,63,63,314827.2,159381.1,0.2248,0.9339,0.7091,깊이 제한 없음 (leaves 제약 유효)
